CriWare/src/adx/adxf/adx_fcch	1	1+0	0
CriWare/src/adx/adxf/adx_fini	2	0+1	1
CriWare/src/adx/adxf/adx_fs	25	17+0	8
CriWare/src/adx/adxt/adx_amp	4	4+0	0
CriWare/src/adx/adxt/adx_bahx	4	4+0	0
CriWare/src/adx/adxt/adx_baif	7	2+0	5
CriWare/src/adx/adxt/adx_bau	8	3+0	5
CriWare/src/adx/adxt/adx_bsc	44	40+1	3
CriWare/src/adx/adxt/adx_bsps	4	3+0	1
CriWare/src/adx/adxt/adx_bwav	8	4+0	4
CriWare/src/adx/adxt/adx_crs	6	4+2	0
CriWare/src/adx/adxt/adx_dcd	9	9+0	0
CriWare/src/adx/adxt/adx_dcd5	4	1+0	3
CriWare/src/adx/adxt/adx_errs	6	6+0	0
CriWare/src/adx/adxt/adx_fsvr	2	2+0	0
CriWare/src/adx/adxt/adx_inis	7	5+0	2
CriWare/src/adx/adxt/adx_lsc	1	1+0	0
CriWare/src/adx/adxt/adx_mng	2	2+0	0
CriWare/src/adx/adxt/adx_sfa	2	2+0	0
CriWare/src/adx/adxt/adx_sjd	44	36+0	8
CriWare/src/adx/adxt/adx_stmc	32	27+1	4
CriWare/src/adx/adxt/adx_tlk	45	37+1	7
CriWare/src/adx/adxt/adx_tlk2	3	3+0	0
CriWare/src/adx/adxt/adx_tsvr	11	4+0	7
CriWare/src/adx/adxt/adx_xpnd	17	15+2	0
CriWare/src/adx/adxt/srcwii/adx_mwii	18	12+0	6
CriWare/src/adx/adxt/srcwii/adx_rnawii	18	18+0	0
CriWare/src/adx/adxt/srcwii/adx_suwii	2	1+0	1
CriWare/src/adx/ahx/adx_hdr	3	1+1	1
CriWare/src/adx/ahx/ahx_atbl	2	2+0	0
CriWare/src/adx/ahx/ahx_bsr	8	5+0	3
CriWare/src/adx/ahx/ahx_cmn	2	1+1	0
CriWare/src/adx/ahx/ahx_dcd	24	19+0	5
CriWare/src/adx/ahx/ahx_ftbl	1	1+0	0
CriWare/src/adx/ahx/ahx_link	6	6+0	0
CriWare/src/adx/ahx/ahx_mflt_c	1	0+0	1
CriWare/src/adx/ahx/ahx_mwin2_c	16	16+0	0
CriWare/src/adx/ahx/ahx_sbf	7	6+0	1
CriWare/src/adx/ahx/ahx_sbf2	1	0+0	1
CriWare/src/adx/ahx/ahx_sjd	17	14+0	3
CriWare/src/adx/ahx/ahx_wtbl	1	1+0	0
CriWare/src/adx/cricfg/cfg_lib	1	1+0	0
CriWare/src/adx/cvfs/cri_cvfs	15	9+1	5
CriWare/src/adx/gcci/gcci	17	13+1	3
CriWare/src/adx/gcci/gcci_sub	1	1+0	0
CriWare/src/adx/lsc/lsc	16	15+0	1
CriWare/src/adx/lsc/lsc_crs	4	4+0	0
CriWare/src/adx/lsc/lsc_err	2	1+1	0
CriWare/src/adx/lsc/lsc_ini	2	2+0	0
CriWare/src/adx/lsc/lsc_svr	3	1+0	2
CriWare/src/adx/mfci/mfci	16	10+0	6
CriWare/src/adx/sj/sj_crs	4	2+2	0
CriWare/src/adx/sj/sj_err	1	1+0	0
CriWare/src/adx/sj/sj_mem	19	17+0	2
CriWare/src/adx/sj/sj_rbf	23	23+0	0
CriWare/src/adx/sj/sj_uni	21	20+0	1
CriWare/src/adx/sj/sj_utl	2	0+1	1
CriWare/src/adx/std/cri_crw_std	8	8+0	0
CriWare/src/adx/svm/svm	25	5+1	19
CriWare/src/adx/wiirna/ax_rna	24	22+0	2
CriWare/src/adx/wiirna/rna_crs	2	2+0	0
CriWare/src/adx/wiirna/rna_err	2	2+0	0
